Species,wing,Lnalt,patch,colour,Frequency,Length,Lnote
Calorhamphus_fuliginosus_fuliginosus,4.388257184,5.298317367,2,1.666666667,20.468894,3.1207387,0.26
Calorhamphus_fuliginosus_hayi,4.427238977,5.298317367,2,1.666666667,22.48367,3.1371727,0.23
M_armillaris,4.532599493,7.170119543,6.333333333,4,-7.135924,-11.9001412,0.03
M_asiatica_asiatica,4.611152258,6.802394763,7.333333333,5,-10.153448,0.3671016,0.025
M_asiatica_davisoni,4.605170186,7.003065459,6.666666667,3.333333333,-9.700025,0.4492719,0.03
M_australis_duvaucelli,4.282206299,6.620073207,9,4,1.206501,-2.5198843,0.03
M_chrysopogon,4.829113417,6.620073207,9,5.333333333,-17.961279,0.1493287,0.1
M_corvina,4.824305716,7.313220387,2,2,-16.777077,0.8625655,0.115
M_eximia,4.359269648,6.620073207,7.666666667,5,-2.308277,3.2467332,0.03
M_faiostricta,4.693181063,5.298317367,5,5,-13.550036,0.3944917,0.045
M_flavifrons,4.487512143,6.907755279,5,3.666666667,-5.997081,1.7302251,0.14
M_franklinii_auricularis,4.550714,7.313220387,8,5.666666667,-10.305768,1.7466592,0.14
M_franklinii_franklinii,4.604169686,7.313220387,7.666666667,5,-8.885098,1.7411811,0.135
M_franklinii_ramsayi,4.570578741,7.313220387,7.333333333,5,-8.648623,1.7685712,0.115
M_haemacephala_indica,4.387014176,6.109247583,6.666666667,4,-16.782037,3.2248211,0.07
M_henricii,4.557029811,6.163314804,7,4.666666667,-9.201584,-6.4335091,0.125
M_incognita,4.548599834,6.802394763,9,3.333333333,-8.166673,0.3616236,0.04
M_javensis,4.695924549,6.214608098,8.666666667,4.333333333,-17.204273,-5.6678766,0.05
M_lagrandieri,4.89858579,7.003065459,7,4.333333333,-5.910024,3.0440464,0.4
M_lineata_hodgsoni,4.857484115,5.991464547,3.666666667,2.666666667,-12.746571,0.3287555,0.07
M_monticola,4.616110126,6.802394763,7,5,-16.093079,-7.7148614,0.06
M_mystacophanos,4.553876892,6.745236349,10.33333333,5,-15.948289,-9.0316506,0.06
M_oorti_annamensis,4.558078578,7.313220387,9.333333333,5,-9.654623,-0.1503694,0.03
M_oorti_nuchalis,4.588024027,6.620073207,9.666666667,5.666666667,-11.342388,-6.2060987,0.045
M_oorti_oorti,4.514150788,7.170119543,9,5,-11.091419,0.7530051,0.14
M_pulcherrima,4.521788577,7.467371067,5.666666667,3.666666667,-7.183282,-5.5981665,0.3
M_rafflesi,4.741447804,4.605170186,8.333333333,5,-22.419596,-16.943472,0.05
M_rubricapillus_malabarica,4.387014176,6.109247583,6.333333333,4,-16.255444,3.2357771,0.05
M_rubricapillus_rubricapillus,4.346399457,6.109247583,9,5,-17.699099,-0.6955755,0.03
M_virens,4.953712147,7.495541944,2,2,-6.799948,2.9892662,0.5
M_viridis,4.587006215,6.214608098,5.666666667,3,-8.780492,-0.0736771,0.04
M_zeylanica,4.682131227,5.991464547,2,2.333333333,-13.327782,0.4273598,0.06
Psilopogon_pyrolophus,4.773223771,7.13089883,10,6.333333333,5.990051,-10.1022207,0.3
